Filename,URN,Title,Author,Editor,Publisher,Publication Year,Language,Size,Location,Source
tlg0527.tlg037.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg037.1st1K-grc1,Ἀμώς,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,66472,data/tlg0527/tlg037,data
tlg0527.tlg037.perseus-eng2.xml,,Amos,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,46942,data/tlg0527/tlg037,data
tlg0527.tlg015.perseus-eng2.xml,,I Chronicles,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,226446,data/tlg0527/tlg015,data
tlg0527.tlg015.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg015.1st1K-grc1,Παραλειπομένων Αʹ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1896,Greek,341647,data/tlg0527/tlg015,data
tlg0527.tlg012.perseus-eng2.xml,,II Samuel,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,191317,data/tlg0527/tlg012,data
tlg0527.tlg012.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg012.1st1K-grc1,Βασιλειῶν Βʹ,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,313435,data/tlg0527/tlg012,data
tlg0527.tlg024.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg024.1st1K-grc1,Μακκαβαίων Βʹ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,252165,data/tlg0527/tlg024,data
tlg0527.tlg023.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg023.1st1K-grc1,Μακκαβαίων Αʹ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,396765,data/tlg0527/tlg023,data
tlg0527.tlg048.1st1K-grc2.xml,urn:cts:greekLit:tlg0527.tlg048.1st1K-grc2,Ἠσαΐας,,Richard Rusden Ottley,Cambridge University Press,1904,Greek,520194,data/tlg0527/tlg048,data
tlg0527.tlg048.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg048.1st1K-grc1,Ἠσαΐας,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,688809,data/tlg0527/tlg048,data
tlg0527.tlg048.1st1K-eng1b.xml,,Appendix to Isaias,,Richard Rusden Ottley,Cambridge University Press,1904,Latin,40834,data/tlg0527/tlg048,data
tlg0527.tlg048.1st1K-eng1a.xml,,Notes on Isaias,,Richard Rusden Ottley,Cambridge University Press,1904,English,1028682,data/tlg0527/tlg048,data
tlg0527.tlg048.perseus-eng2.xml,,Isaiah,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,354384,data/tlg0527/tlg048,data
tlg0527.tlg048.1st1K-mul2.xml,,Index II to Isaias,,Richard Rusden Ottley,Cambridge University Press,1904,Latin,49921,data/tlg0527/tlg048,data
tlg0527.tlg048.1st1K-eng1.xml,,Isaias,,Richard Rusden Ottley,Cambridge University Press,1904,English,373006,data/tlg0527/tlg048,data
tlg0527.tlg048.1st1K-mul1.xml,,Index I to Isaias,,Richard Rusden Ottley,Cambridge University Press,1904,Latin,61354,data/tlg0527/tlg048,data
tlg0527.tlg046.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg046.1st1K-grc1,Ζαχαρίας,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,110995,data/tlg0527/tlg046,data
tlg0527.tlg046.perseus-eng2.xml,,Zechariah,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,66355,data/tlg0527/tlg046,data
tlg0527.tlg041.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg041.1st1K-grc1,Ἰωνᾶς,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,27343,data/tlg0527/tlg041,data
tlg0527.tlg041.perseus-eng2.xml,,Jonah,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,17191,data/tlg0527/tlg041,data
tlg0527.tlg025.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg025.1st1K-grc1,Μακκαβαίων Γʹ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,107162,data/tlg0527/tlg025,data
tlg0527.tlg013.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg013.1st1K-grc1,Βασιλειῶν Γʹ,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,407414,data/tlg0527/tlg013,data
tlg0527.tlg013.perseus-eng2.xml,,I Kings,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,223913,data/tlg0527/tlg013,data
tlg0527.tlg014.perseus-eng2.xml,,II Kings,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,208570,data/tlg0527/tlg014,data
tlg0527.tlg014.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg014.1st1K-grc1,Βασιλειῶν Δʹ,Septuaginta,Henry Barclay Swete,University Press,1901,Greek,341407,data/tlg0527/tlg014,data
tlg0527.tlg040.perseus-eng2.xml,,Obadiah,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,10784,data/tlg0527/tlg040,data
tlg0527.tlg040.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg040.1st1K-grc1,Ὀβδιού,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,14952,data/tlg0527/tlg040,data
tlg0527.tlg047.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg047.1st1K-grc1,Μαλαχίας,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,34740,data/tlg0527/tlg047,data
